v_19rr28fmgo	爱情来得太快！英潜水员救援期间与泰国女翻译相恋
e0710a2od9a	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
g0026qnpbd8	泰国洞穴救援 少年足球队获救视频首次曝光
d0733i43fbt	泰国“洞穴野人”将破山洞改造成海景豪宅，并成功约到俄罗斯美少女
j0710rz1zkv	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
y0702f5ynlw	揪心！13人泰国少年足球队被困山洞 暴雨淹没洞穴情势危急
v_19rr5fyi5o	曾受困洞穴终生还 泰国少年足球队受邀参加青奥
v_19rr1jmyts	泰国溶洞“奇迹救援”
v_19rr1kkqg0	泰国洞穴被困13人奇迹生还！这场救援轰动全球
v_19rr1nzguc	泰国:救援队已在洞内发现12名少年和1名教练
s0714qu2ivw	泰国13人被困洞穴半个月，动画视频直观演绎高难度救援
v_19rr1w97p8	泰国:少年足球队被困溶洞救援继续
v_19rr1vouw0	泰国13人被困洞穴,长沙“蓝天侠”跨国营救
v_19rsn3864k	八爪鱼盘斗大螃蟹，深邃洞穴无从下手，看川子赶海如何抓出？ 
id_XMzczMzczMDQwMA==	中方队员周亚辉洞内讲解绳索接应被困足球少年计划
id_XMzcyNDE4MzQ5Ng==	华裔导演将拍“泰国洞穴救援”故事  拒绝好莱坞“漂白” 上海早晨 180715
o0865dynys8	洞穴探险失联10日 泰国13人足球队奇迹生还
q0026lwtzqz	泰国洞穴救援继续 四名少年率先出洞
m07289elzyk	感动！泰国洞穴救援男孩重温奇迹时刻
id_XMzY5ODkzNTU2MA==	搜救泰国少年足球队行动：中国洞穴救援专家队进入洞穴进行勘察
v_19rr11hy80	泰国12名青年足球队员被困洞穴中，搜救工作已持续3天
id_XMzg2NTI5NTg0OA==	57岁英国潜水员洞穴救援期间恋上泰国女护士，两人相差20岁
id_XMzczMzcyNDYyMA==	中方救援队坚守至最后一刻 引得各国掌声
id_XMzcxNDMzMzg2OA==	泰国洞穴救援
v_19rr1iif2s	泰国洞穴营救遇挫  一名前特种兵溺亡
v_19rr1u21x4	熊出没洞穴探险历险记游戏
v_19rr1wv4q4	泰国少年足球队13人被困洞穴
id_XNDEwMDQ0NjIzMg==	泰国洞穴救援揭秘2-1
b0715mngvaw	泰国洞穴救援：6名队员确认成功营救 9日继续带人出洞工作
c0717oatnau	泰国洞穴救援:“没有孩子以前有这样的溶洞潜水经历” Ivan
v_19rr29uch4	3D：英国潜水员在救援泰国少年足球队期间与当地女翻译相恋？
p0793uf5pqr	泰国游客拍到“半人半猿”生物 洞穴中聚集引人围观
id_XMzczMzYwMzY3Mg==	感动！泰国洞穴救援男孩重温"奇迹时刻"
a0758hb0i6u	泰国洞穴救援牺牲队员按军事葬礼待遇安葬，妻子、父亲很骄傲
v_19rrbpfxac	泰国旅游大巴翻车 河南医生跨国救援
a0710ztqu67	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
v_19rr1sxkgw	泰国洞穴营救遇挫 1名前特种兵溺亡
v_19rr1hdyds	救援队已开始转移泰国山洞受困少年足球队
p085228fa4k	心碎！15岁少年洞穴内失踪5天 搜救无果后家长同意停止救援
v_19rr1q5bds	泰国少年足球队失联超一周中方救援队参与搜救
p07077t4919	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
av26208891	泰国清莱府失踪少年足球队成员及教练已经找到，全部活着，健康状况良好！
l07164f45v2	实拍泰国足球少年洞穴救援过程 把孩子装进氧气袋中
id_XMzcxMjI1MTUyMA==	泰国洞穴救援: 6名队员确认成功营救, 带人出洞工作9日继续
id_XMzczMTc2OTM4NA==	在泰国，从洞穴中拯救少年足球队的救援行动已经顺利完成。
v_19rr1e1ea8	泰国少年足球队被困洞穴续13人全部获救
v_19rr1g54lc	泰国游船倾覆事故 救援细节曝光
v_19rsirbnbc	中国版“营救洞穴少年”救援现场！潜水员最深潜入9米，家属放弃
v_19rr12044o	泰国一青少年足球队13人被困洞穴 至今下落不明
v_19rr1grs0w	泰国洞穴营救加速首批4名男孩获救送医
id_XMzczMDk1NTA0NA==	生死营救 揭秘史上难度最大洞穴救援（上）
w08729i9eh2	世界上最毒的洞穴！一滴水含数亿病毒，却吸引无数人参观
a0710ffjmq5	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
a0710et13sy	中国参与泰国洞穴救援 外交部：中泰一家亲
v_19rr1i7lqo	一名泰国潜水员在救援中遇难
id_XMzczMjA2MDc1Ng==	泰国洞穴救援揭秘：世界顶级洞穴潜水员参与史上难度最大洞穴救援
n0717jkbft5	揪心！泰国十多名男孩及其教练被困洞穴数周，救援行动进展如何？
v_19rr1fyk5c	洞穴救援 历史上有成功先例
g1427mwphjk	泰国：少年足球队洞穴救援视频首次曝光
v_19rr31gli4	幸运!被困洞穴获救泰国足球队受邀参观曼联
k0716qsedpx	泰国洞穴救援 马斯克8小时造“神器”即将上线
v_19rr1f5i8s	泰国少年足球队又有4人获救 仍有5人尚在洞内等待救援
id_XMzcwOTc5OTM5Mg==	为救援被困洞穴少年足球队 泰国海豹突击队员缺氧死亡
v_19rr1gf9pk	泰国吉普岛失事游轮致41人遇难，多人失踪
id_XMzczNzE5NDc2NA==	2018最受关注的救援行动, 举世瞩目, 泰国洞穴救援揭秘(下)
id_XMzcyMjgyMzcyOA==	泰国洞穴救援将拍电影 说天下 20180714 高清版
id_XMzczMjEwODI4MA==	泰国洞穴救援揭秘：多种高科技救援技术为何在这里失效？
v_19rr2fpejc	泰国获救少年足球队康复出院 发布会讲述洞穴生活
o07172vf83p	最后决战！泰国第三次洞穴救援行动开始 目标：全部救出！
v_19rqubxd44	男子河边发现一个洞穴，看到带有鳞片的“怪石”，吓得立即报了警
v_19rr1vuumw	我国救援专家为营救泰国少年足球队员做准备
k00260o0nsu	泰国一支少年足球队被困洞穴 运输绳索搭建完成 潜水救援仍有难度
id_XMzcyMjcxMzM0NA==	回顾泰国洞穴救援: 惊心动魄十八天
id_XNDEwMDQ0NjIyOA==	泰国洞穴救援揭秘2-6
v_19rr1nnetk	奇迹！泰国13人少年足球队洞穴内受困9天生还
v_19rr29eno4	泰国13人获救后想看世界杯！被医护人员阻挠，教练致歉球员家人
v_19rr2bic6w	泰国溶洞救援结束记者探访长沙蓝天救援队
x03811otv9t	泰国一处神秘洞穴，里面的东西令女人脸红
b0724qhyx8s	最后决战！泰国第三次洞穴救援行动开始 目标：全部救出！
k0721aonzi1	长沙“蓝天侠”完成泰国洞穴救援任务回国 获赠“野猪”球队服饰
v_19rr1whqdg	泰国少年足球队13人仍被困洞穴
v_19rr2hnhns	世界杯被泰国少年足球队抢了风头？传少年足球队陷洞穴将拍大电影
v_19rr1eyin8	泰国洞穴营救行动进展顺利
v_19rrc9yszo	发现古老神秘洞穴
v_19rr1gezro	泰国当地人讲述救援故事
v_19rr1kcpro	好莱坞公司争拍“泰国洞穴救援”《惊天魔盗团2》华裔导演将执导
id_XMzcxODMyNzY1Ng==	泰国洞穴救援：少年足球队获救视频首次曝光 上海早晨 180712
a0026rlj587	搜救泰国少年足球队行动 中国洞穴救援专家队进入洞穴进行勘察
id_XNDA1Nzk2MDQxMg==	泰国洞穴救援揭秘2-1
e08556k9a9y	世界上最深的洞穴，深度达到2197米，你敢下去吗
v_19rr1nfae8	被困洞穴18天泰国12名足球少年和教练全部获救
v_19rre2bs9s	泰国大象陷河中被困上百人20小时大营救
a0750vrzpks	泰国洞穴救援行动3D效果展示救援方案
id_XMzg2ODQ5Njk2NA==	泰国洞穴救援潜水员牺牲妻子发合照悼念：孩子们不要自责
v_19rrkj6j3g	泰国上百万只蝙蝠列队飞出洞穴 绵延10公里
i0702wwaxd0	最后决战！泰国第三次洞穴救援行动开始 目标：全部救出！
av26071774	奇迹！泰国少年足球队失踪10日最终获救 13人全部生还！
v_19rsm1nvac	男子河边钓鱼，发现神秘洞穴，看到里面的东西后，吓得赶紧报警
v_19rqvkeru4	泰洞穴救援事件将登大荧幕好莱坞公司将获版权
v_19rr1wg0cw	泰国溶洞救援行动  持续进行中
v_19rr3ffyq4	地下城与勇士蜘蛛洞穴通关视频
id_XMzczMjA1Nzk4OA==	泰国洞穴救援揭秘：世界顶级洞穴潜水员参与史上难度最大洞穴救援
id_XMzg2NTI3NTE4MA==	38岁泰国洞穴救援队员牺牲妻子与父亲：他是英雄，我们很骄傲
n0722k9cl3t	0714深入泰国洞穴救援，长沙“蓝天英雄”归来
b002617houk	追新闻 泰国溶洞救援 泰国少年足球队被困洞穴续 13人全部获救
q0864k3oomk	è´µå·æ·±å±±éçä¸ä¸ªæ´ç©´ï¼ç©¿è¶ååç°ï¼è¿éç«ç¶æ¯å¦ä¸ä¸ªä¸çï¼
id_XMzcxMDYwMDE5Mg==	泰国洞穴救援行动 - 3D效果展示救援方案
v_19rr1x3tpc	为何找到却救不出 泰国少年足球队救援难度比你想象还要大
id_XMzczMDE5NTY0NA==	泰国被困少年怎么样了？ 18天洞穴生存奇迹独家揭秘
id_XMzczMzczMDUxMg==	中方救援队负责人王珂救援现场介绍足球少年氧气面罩
q07100bmzp0	泰少年足球队13人洞穴失联九天仍有生还可能 中方救援队凌晨进洞
v_19rr1t85f4	泰国游船倾覆事故救援工作展开
v_19rr1t92i0	泰国溶洞救援行动持续进行中 或打洞实施救援
v_19rsgmsqzc	泰国清迈洞穴竟藏大量毒品
y1428a19ggn	泰国工人开始建造博物馆 纪念洞穴救援足球队事件
c1427ysbg75	泰国要在足球少年被困的洞穴里建博物馆，展示救援全过程
v_19rrbzuwc0	女子去洞穴探险，竟遭遇地下变种人侵扰
f0719hx9py5	马斯克已到达泰国洞穴救援现场 留下了迷你潜艇
v_19rr1vcmm8	泰国: 溶洞救援行动持续进行中
v_19rrnmjzig	世界最大河流 洞穴
v_19rr1sfbuo	泰国球队洞穴探险 13人下落不明
v_19rr64g9wo	单身狗羡慕不已！泰国“洞穴流浪汉”成功约会多位欧美游客！
id_XMzczMzczMTAxMg==	全部救援工作结束 中方救援队疲惫凯旋营地
b0834k9nop2	泰国洞穴救援当地人的等待和希望
v_19rr1t9utg	泰国游船倾覆事故  浙样红连线救援人员
id_XMzczMjgyNDI0OA==	泰国洞穴救援揭秘：洞穴救援过程危险重重 最危险的一环在哪里？
z0768s2sgvf	曾参与泰国“洞穴救援”的专家，现场展示安全锤，好神奇的锤子
id_XMzcyMjM5OTQ4OA==	华裔导演将拍“泰国洞穴救援”故事  拒绝好莱坞“漂白” 北京您早 180714
v_19rqufm5zs	电影《夺命深渊》，探险队被困洞穴绝境中被迫吃人，结局难以想象
a0820pwyne0	泰国洞穴救援，人本来全都唤不醒了，专业医师一句话活过来了！
v_19rr1kduss	泰国：溶洞氧气含量下降 一救援人员遇难
l1427zxpyjr	参与泰国洞穴救援的英国潜水员回国
id_XMzcxNTM3NDk1Ng==	独家口述：中国专家全程参与泰国洞穴救援
v0855ngo2zi	科普泰国救援为何难度极大，4年前德国也有过类似洞穴被困事故
u076847crgb	曾参与泰国“洞穴救援”的专家，现场展示安全锤，好神奇的锤子
m08553nr0z0	心碎！15岁少年洞穴内失踪5天，搜救无果后家长同意停止救援
y0716032lc8	泰国洞穴营救，一名潜水员在将氧气罐送到洞穴后死亡！
y0716unuq3y	实拍：泰国请来洞穴救援高手 钻井救人
v_19rr1f133s	泰国沉船救援行动持续进行
z0710ln3q0b	被困洞穴的泰国足球队少年已找到 救援工作仍继续
w0775n4m0zi	噩耗！泰国清莱洞穴救援志愿者因供氧问题遇难
g071971gasa	马斯克已到达泰国洞穴救援现场 留下了迷你潜艇
v0724hkoztt	泰国洞穴救援将被拍成电影！由华裔导演执导
v_19rr1pwnx8	泰国少年足球队失联一周 中方救援队参与搜救
v_19rroiljms	泰国拟购买日本自卫队救援机
v_19rr1f1n0k	泰国溶洞救援行动:仍有5人被困
b0779wnpsff	劫后重聚 泰国总理巴育设答谢宴 数千名洞穴救援人员齐聚曼谷今晚
v_19rr1ey63o	被困洞穴18天 泰国少年足球队全员获救
l0747jz5yye	好莱坞公司争拍“泰国洞穴救援”
id_XMzcxNDMzMzIwNA==	泰国洞穴救援新进展  又有4名被困少年获救 上海早晨 180710
id_XMzg3MTY5MjA5Ng==	马斯克骂泰国洞穴救援潜水员失言致特斯拉跌3.5%
v_19rr1e62ls	被困洞穴18天 泰国12名足球少年和教练全部获救
id_XMzczMjEwNzU0NA==	泰国洞穴救援揭秘：多种高科技救援技术为何在这里失效？
v_19rr1219fs	泰国一青少年足球队13人被困洞穴 生死未卜
l0872kshu0u	男子误闯神秘洞穴，发现奇石光泽四射，拿给专家鉴定价值50万！
f1427uglinf	泰国洞穴救援现场曝光！水浑闭塞潜水员冒险作业
